gm,date,tm,home_away,opp,result,r,ra,inn,record,rank,gb,win,loss,save,time,day_night,attendance,c_li,streak,orig_scheduled,year,ymd,game_num,is_double_header,dotw
26,"Monday, May 3",BOS,H,LAA,W,17,8,,12-14,4,6.5,Buchholz,Saunders,,3:38,N,37404,0.79,1,,2010,2010-05-03,1,FALSE,Monday
27,"Tuesday, May 4",BOS,H,LAA,W,5,1,,13-14,4,6.5,Lester,Jepsen,,2:56,N,37411,0.83,2,,2010,2010-05-04,1,FALSE,Tuesday
28,"Wednesday, May 5",BOS,H,LAA,W,3,1,,14-14,4,6.5,Lackey,Piñeiro,Papelbon,2:33,N,37601,0.81,3,,2010,2010-05-05,1,FALSE,Wednesday
29,"Thursday, May 6",BOS,H,LAA,W,11,6,,15-14,4,6.5,Matsuzaka,Kazmir,,3:43,N,37639,0.83,4,,2010,2010-05-06,1,FALSE,Thursday
30,"Friday, May 7",BOS,H,NYY,L,3,10,,15-15,4,7.5,Hughes,Beckett,,3:01,N,37898,1.1,-1,,2010,2010-05-07,1,FALSE,Friday
31,"Saturday, May 8",BOS,H,NYY,L,3,14,,15-16,4,7.5,Aceves,Buchholz,,3:56,D,37138,0.94,-2,,2010,2010-05-08,1,FALSE,Saturday
32,"Sunday, May 9",BOS,H,NYY,W,9,3,,16-16,4,6.5,Lester,Burnett,,3:05,N,37618,0.78,1,,2010,2010-05-09,1,FALSE,Sunday
33,"Monday, May 10",BOS,H,TOR,W,7,6,,17-16,4,5.5,Lackey,Morrow,Papelbon,3:06,N,37332,0.87,2,,2010,2010-05-10,1,FALSE,Monday
34,"Tuesday, May 11",BOS,H,TOR,W,6,1,,18-16,4,5.5,Matsuzaka,Eveland,,3:04,N,37609,0.96,3,,2010,2010-05-11,1,FALSE,Tuesday
35,"Wednesday, May 12",BOS,H,TOR,L,2,3,,18-17,4,6.5,Marcum,Wakefield,Gregg,2:32,D,37198,1,-1,,2010,2010-05-12,1,FALSE,Wednesday
41,"Wednesday, May 19",BOS,H,MIN,W,3,2,,21-20,4,8.5,Buchholz,Baker,Bard,2:59,N,37426,0.77,2,,2010,2010-05-19,1,FALSE,Wednesday
42,"Thursday, May 20",BOS,H,MIN,W,6,2,,22-20,4,8.5,Lester,Liriano,,2:32,N,38144,0.77,3,,2010,2010-05-20,1,FALSE,Thursday
49,"Thursday, May 27",BOS,H,KCR,L,3,4,,27-22,3,6.5,Bannister,Matsuzaka,Soria,3:03,N,37940,1.15,-1,,2010,2010-05-27,1,FALSE,Thursday
50,"Friday, May 28",BOS,H,KCR,L,5,12,,27-23,4,6.5,Davies,Wakefield,,3:05,N,37945,1.11,-2,,2010,2010-05-28,1,FALSE,Friday
51,"Saturday, May 29",BOS,H,KCR,W,1,0,,28-23,4,6.5,Buchholz,Greinke,Papelbon,2:46,N,37956,1.04,1,,2010,2010-05-29,1,FALSE,Saturday
52,"Sunday, May 30",BOS,H,KCR,W,8,1,,29-23,4,5.5,Lester,Thompson,,2:46,D,37581,1.1,2,,2010,2010-05-30,1,FALSE,Sunday
53,"Tuesday, Jun 1",BOS,H,OAK,W,9,4,,30-23,4,5.0,Lackey,Ross,,3:29,N,37337,1.17,3,,2010,2010-06-01,1,FALSE,Tuesday
54,"Wednesday, Jun 2",BOS,H,OAK,W,6,4,,31-23,3,5.0,Matsuzaka,Sheets,Papelbon,2:53,N,37783,1.16,4,,2010,2010-06-02,1,FALSE,Wednesday
55,"Thursday, Jun 3",BOS,H,OAK,L,8,9,,31-24,3,5.5,Mazzaro,Wakefield,Bailey,3:17,D,37386,1.24,-1,,2010,2010-06-03,1,FALSE,Thursday
63,"Friday, Jun 11",BOS,H,PHI,W,12,2,,36-27,3,4.0,Lackey,Moyer,,2:43,N,38021,1.19,1,,2010,2010-06-11,1,FALSE,Friday
64,"Saturday, Jun 12",BOS,H,PHI,W,10,2,,37-27,3,4.0,Delcarmen,Blanton,,3:20,D,37061,1.27,2,,2010,2010-06-12,1,FALSE,Saturday
65,"Sunday, Jun 13",BOS,H,PHI,L,3,5,,37-28,3,4.0,Hamels,Wakefield,Lidge,2:57,D,37230,1.25,-1,,2010,2010-06-13,1,FALSE,Sunday
66,"Tuesday, Jun 15",BOS,H,ARI,W,6,3,,38-28,3,4.0,Buchholz,Kennedy,Papelbon,3:02,N,37459,1.21,1,,2010,2010-06-15,1,FALSE,Tuesday
67,"Wednesday, Jun 16",BOS,H,ARI,W,6,2,,39-28,3,3.0,Lester,López,Papelbon,2:48,N,37452,1.23,2,,2010,2010-06-16,1,FALSE,Wednesday
68,"Thursday, Jun 17",BOS,H,ARI,W,8,5,,40-28,3,2.0,Lackey,Haren,,3:24,N,37544,1.29,3,,2010,2010-06-17,1,FALSE,Thursday
69,"Friday, Jun 18",BOS,H,LAD,W,10,6,,41-28,3,1.0,Doubront,Monasterios,Bard,3:18,N,37723,1.39,4,,2010,2010-06-18,1,FALSE,Friday
70,"Saturday, Jun 19",BOS,H,LAD,W-wo,5,4,,42-28,3,1.0,Papelbon,Belisario,,3:07,D,37454,1.46,5,,2010,2010-06-19,1,FALSE,Saturday
71,"Sunday, Jun 20",BOS,H,LAD,W,2,0,,43-28,2,1.0,Buchholz,Kuroda,Papelbon,3:09,N,37430,1.43,6,,2010,2010-06-20,1,FALSE,Sunday
78,"Tuesday, Jun 29",BOS,H,TBR,W,8,5,,47-31,2,1.0,Lackey,Shields,Papelbon,3:30,N,38013,1.99,3,,2010,2010-06-29,1,FALSE,Tuesday
79,"Wednesday, Jun 30",BOS,H,TBR,L,4,9,,47-32,2,1.0,Garza,Matsuzaka,,3:35,N,38055,1.99,-1,,2010,2010-06-30,1,FALSE,Wednesday
80,"Friday, Jul 2",BOS,H,BAL,W,3,2,,48-32,2,0.5,Wakefield,Bergesen,Papelbon,2:07,N,38067,1.59,1,,2010,2010-07-02,1,FALSE,Friday
