gm,date,tm,home_away,opp,result,r,ra,inn,record,rank,gb,win,loss,save,time,day_night,attendance,c_li,streak,orig_scheduled,year,ymd,game_num,is_double_header,dotw
103,"Monday, Jul 30",BOS,H,DET,W,7,3,,52-51,4,8.5,Buchholz,Scherzer,,2:56,N,37784,0.67,3,,2012,2012-07-30,1,FALSE,Monday
104,"Tuesday, Jul 31",BOS,H,DET,W,4,1,6,53-51,4,7.5,Mortensen,Verlander,Morales,2:22,N,37275,0.75,4,,2012,2012-07-31,1,FALSE,Tuesday
105,"Wednesday, Aug 1",BOS,H,DET,L,5,7,,53-52,4,8.5,Porcello,Cook,Valverde,3:34,N,37213,0.88,-1,,2012,2012-08-01,1,FALSE,Wednesday
106,"Thursday, Aug 2",BOS,H,MIN,L,0,5,,53-53,4,9.0,Deduno,Lester,Perkins,2:35,N,37191,0.72,-2,,2012,2012-08-02,1,FALSE,Thursday
107,"Friday, Aug 3",BOS,H,MIN,L,5,6,10,53-54,4,10.0,Gray,Padilla,Burton,4:08,N,37285,0.6,-3,,2012,2012-08-03,1,FALSE,Friday
108,"Saturday, Aug 4",BOS,H,MIN,L,4,6,,53-55,4,10.0,Burnett,Aceves,Burton,3:22,N,37914,0.45,-4,,2012,2012-08-04,1,FALSE,Saturday
109,"Sunday, Aug 5",BOS,H,MIN,W,6,4,,54-55,4,10.0,Morales,Blackburn,Aceves,3:14,D,37019,0.4,1,,2012,2012-08-05,1,FALSE,Sunday
110,"Monday, Aug 6",BOS,H,TEX,W,9,2,,55-55,4,9.0,Cook,Darvish,,2:47,N,37316,0.45,2,,2012,2012-08-06,1,FALSE,Monday
111,"Tuesday, Aug 7",BOS,H,TEX,L,3,6,,55-56,4,9.0,Dempster,Lester,Nathan,3:21,N,38416,0.58,-1,,2012,2012-08-07,1,FALSE,Tuesday
112,"Wednesday, Aug 8",BOS,H,TEX,L,9,10,,55-57,4,10.0,Ogando,Mortensen,Nathan,3:30,D,37716,0.44,-2,,2012,2012-08-08,1,FALSE,Wednesday
123,"Tuesday, Aug 21",BOS,H,LAA,L,3,5,,59-64,4,13.0,Santana,Cook,Frieri,3:00,N,37794,0.12,-2,,2012,2012-08-21,1,FALSE,Tuesday
124,"Wednesday, Aug 22",BOS,H,LAA,L,3,7,,59-65,4,13.0,Weaver,Buchholz,,3:14,N,37373,0.09,-3,,2012,2012-08-22,1,FALSE,Wednesday
125,"Thursday, Aug 23",BOS,H,LAA,L,13,14,10,59-66,4,13.5,Frieri,Aceves,,4:34,N,37829,0.04,-4,,2012,2012-08-23,1,FALSE,Thursday
126,"Friday, Aug 24",BOS,H,KCR,W,4,3,,60-66,4,13.5,Lester,Herrera,Bailey,2:54,N,37228,0.02,1,,2012,2012-08-24,1,FALSE,Friday
127,"Saturday, Aug 25",BOS,H,KCR,L,9,10,12,60-67,4,13.5,Bueno,Tazawa,Holland,4:31,N,37103,0.03,-1,,2012,2012-08-25,1,FALSE,Saturday
128,"Sunday, Aug 26",BOS,H,KCR,W,8,6,,61-67,4,13.5,Beato,Smith,Melancon,3:36,D,37188,0.01,1,,2012,2012-08-26,1,FALSE,Sunday
129,"Monday, Aug 27",BOS,H,KCR,W,5,1,,62-67,4,12.5,Matsuzaka,Hochevar,,2:34,D,37506,0.02,2,,2012,2012-08-27,1,FALSE,Monday
139,"Friday, Sep 7",BOS,H,TOR,L,5,7,,63-76,4,15.5,Álvarez,Doubront,,3:08,N,37156,0,-2,,2012,2012-09-07,1,FALSE,Friday
140,"Saturday, Sep 8",BOS,H,TOR,L,2,9,,63-77,5,15.5,Lincoln,Matsuzaka,,2:55,N,37107,0,-3,,2012,2012-09-08,1,FALSE,Saturday
141,"Sunday, Sep 9",BOS,H,TOR,L,3,4,,63-78,5,16.5,Lyon,Buchholz,Janssen,3:03,D,37226,0,-4,,2012,2012-09-09,1,FALSE,Sunday
142,"Tuesday, Sep 11",BOS,H,NYY,W-wo,4,3,,64-78,5,15.5,Bailey,Robertson,,3:11,N,37437,0,1,,2012,2012-09-11,1,FALSE,Tuesday
143,"Wednesday, Sep 12",BOS,H,NYY,L,4,5,,64-79,5,16.5,Phelps,Cook,Soriano,3:43,N,37230,0,-1,,2012,2012-09-12,1,FALSE,Wednesday
144,"Thursday, Sep 13",BOS,H,NYY,L,0,2,,64-80,5,17.5,Hughes,Doubront,Soriano,3:11,N,38134,0,-2,,2012,2012-09-13,1,FALSE,Thursday
152,"Friday, Sep 21",BOS,H,BAL,L,2,4,,68-84,4,20.0,González,Lester,Johnson,3:00,N,37731,0,-3,,2012,2012-09-21,1,FALSE,Friday
153,"Saturday, Sep 22",BOS,H,BAL,L,6,9,12,68-85,4,21.0,Hunter,Aceves,Johnson,4:14,D,37570,0,-4,,2012,2012-09-22,1,FALSE,Saturday
154,"Sunday, Sep 23",BOS,H,BAL,W,2,1,,69-85,4,20.0,Tazawa,Ayala,Bailey,2:53,D,37310,0,1,,2012,2012-09-23,1,FALSE,Sunday
155,"Tuesday, Sep 25",BOS,H,TBR,L,2,5,,69-86,4,20.5,Price,Buchholz,,2:50,N,37045,0,-1,,2012,2012-09-25,1,FALSE,Tuesday
156,"Wednesday, Sep 26",BOS,H,TBR,L,2,4,,69-87,4,21.5,Cobb,Lester,Rodney,3:18,N,37247,0,-2,,2012,2012-09-26,1,FALSE,Wednesday
7,"Monday, Apr 8",BOS,H,BAL,W,3,1,,5-2,1,up 2.0,Buchholz,Chen,Hanrahan,2:42,D,37008,1.24,2,,2013,2013-04-08,1,FALSE,Monday
8,"Wednesday, Apr 10",BOS,H,BAL,L,5,8,,5-3,1,up 1.0,O'Day,Hanrahan,Johnson,2:53,N,30862,1.28,-1,,2013,2013-04-10,1,FALSE,Wednesday
9,"Thursday, Apr 11",BOS,H,BAL,L,2,3,,5-4,1,Tied,Matusz,Mortensen,Johnson,3:15,N,27704,1.23,-2,,2013,2013-04-11,1,FALSE,Thursday
10,"Saturday, Apr 13",BOS,H,TBR,W-wo,2,1,10,6-4,1,up 0.5,Tazawa,Gomes,,3:23,D,33039,1.14,1,,2013,2013-04-13,1,FALSE,Saturday
11,"Sunday, Apr 14",BOS,H,TBR,W,5,0,,7-4,1,up 1.0,Buchholz,Cobb,,2:49,D,35198,1.19,2,,2013,2013-04-14,1,FALSE,Sunday
12,"Monday, Apr 15",BOS,H,TBR,W-wo,3,2,,8-4,1,up 1.5,Bailey,Peralta,,3:03,D,37449,1.26,3,,2013,2013-04-15,1,FALSE,Monday
16,"Saturday, Apr 20",BOS,H,KCR,W,4,3,,12-4,1,up 2.0,Buchholz,Herrera,Bailey,2:58,D,35152,1.23,7,,2013,2013-04-20,1,FALSE,Saturday
17,"Sunday, Apr 21 (1)",BOS,H,KCR,L,2,4,,12-5,1,up 1.5,Santana,Dempster,Holland,2:54,D,31483,1.18,-1,2013-04-19 (Police manhunt (Boston Marathon bomber)),2013,2013-04-21,1,TRUE,Sunday
18,"Sunday, Apr 21 (2)",BOS,H,KCR,L,4,5,10,12-6,1,up 1.5,Herrera,Miller,Holland,3:11,N,33270,1.2,-2,,2013,2013-04-21,2,TRUE,Sunday
19,"Monday, Apr 22",BOS,H,OAK,W,9,6,,13-6,1,up 2.0,Doubront,Griffin,Bailey,3:29,N,28926,1.19,1,,2013,2013-04-22,1,FALSE,Monday
20,"Tuesday, Apr 23",BOS,H,OAK,L,0,13,7,13-7,1,up 1.0,Colón,Aceves,,2:33,N,29006,1.23,-1,,2013,2013-04-23,1,FALSE,Tuesday
21,"Wednesday, Apr 24",BOS,H,OAK,W,6,5,,14-7,1,up 2.0,Lester,Anderson,Bailey,3:40,D,29274,1.21,1,,2013,2013-04-24,1,FALSE,Wednesday
22,"Thursday, Apr 25",BOS,H,HOU,W,7,2,,15-7,1,up 2.0,Buchholz,Humber,,2:59,N,30093,1.22,2,,2013,2013-04-25,1,FALSE,Thursday
23,"Friday, Apr 26",BOS,H,HOU,W,7,3,,16-7,1,up 2.0,Dempster,Bédard,,3:49,N,29312,1.2,3,,2013,2013-04-26,1,FALSE,Friday
24,"Saturday, Apr 27",BOS,H,HOU,W,8,4,,17-7,1,up 2.0,Doubront,Peacock,,3:40,N,34726,1.17,4,,2013,2013-04-27,1,FALSE,Saturday
25,"Sunday, Apr 28",BOS,H,HOU,W,6,1,,18-7,1,up 2.5,Lackey,Norris,,2:56,D,36527,1.2,5,,2013,2013-04-28,1,FALSE,Sunday
32,"Monday, May 6",BOS,H,MIN,W-wo,6,5,11,21-11,1,up 2.0,Mortensen,Burton,,4:44,N,31088,1.25,1,,2013,2013-05-06,1,FALSE,Monday
33,"Tuesday, May 7",BOS,H,MIN,L,1,6,,21-12,1,up 1.0,Diamond,Dempster,,3:01,N,30549,1.26,-1,,2013,2013-05-07,1,FALSE,Tuesday
34,"Wednesday, May 8",BOS,H,MIN,L,8,15,,21-13,1,Tied,Pressly,Webster,,3:42,N,29969,1.27,-2,,2013,2013-05-08,1,FALSE,Wednesday
35,"Thursday, May 9",BOS,H,MIN,L,3,5,,21-14,1,Tied,Correia,Lackey,Perkins,3:04,N,31571,1.22,-3,,2013,2013-05-09,1,FALSE,Thursday
36,"Friday, May 10",BOS,H,TOR,W,5,0,,22-14,1,Tied,Lester,Ortiz,,2:46,N,33606,1.2,1,,2013,2013-05-10,1,FALSE,Friday
37,"Saturday, May 11",BOS,H,TOR,L,2,3,,22-15,2,1.0,Oliver,Tazawa,Janssen,2:42,D,36543,1.25,-1,,2013,2013-05-11,1,FALSE,Saturday
38,"Sunday, May 12",BOS,H,TOR,L,4,12,,22-16,3,2.0,Jenkins,Dempster,,3:13,D,35532,1.18,-2,,2013,2013-05-12,1,FALSE,Sunday
48,"Thursday, May 23",BOS,H,CLE,L,3,12,,28-20,2,1.0,McAllister,Dempster,Barnes,3:34,N,35254,1.32,-1,,2013,2013-05-23,1,FALSE,Thursday
49,"Friday, May 24",BOS,H,CLE,W,8,1,,29-20,2,1.0,Lackey,Masterson,,2:55,N,34074,1.34,1,,2013,2013-05-24,1,FALSE,Friday
50,"Saturday, May 25",BOS,H,CLE,W,7,4,,30-20,2,1.0,Tazawa,Pestano,Bailey,3:24,D,36504,1.32,2,,2013,2013-05-25,1,FALSE,Saturday
51,"Sunday, May 26",BOS,H,CLE,W-wo,6,5,,31-20,1,Tied,Breslow,Perez,,3:19,D,37046,1.33,3,,2013,2013-05-26,1,FALSE,Sunday
52,"Monday, May 27",BOS,H,PHI,W,9,3,,32-20,1,up 1.0,Aceves,Cloyd,,3:26,N,33627,1.3,4,,2013,2013-05-27,1,FALSE,Monday
53,"Tuesday, May 28",BOS,H,PHI,L,1,3,,32-21,1,up 1.0,Lee,Dempster,Papelbon,2:30,N,33463,1.3,-1,,2013,2013-05-28,1,FALSE,Tuesday
59,"Tuesday, Jun 4",BOS,H,TEX,W,17,5,,36-23,1,up 2.5,Dempster,Grimm,,3:10,N,32035,1.41,3,,2013,2013-06-04,1,FALSE,Tuesday
60,"Wednesday, Jun 5",BOS,H,TEX,L,2,3,,36-24,1,up 1.5,Cotts,Breslow,Nathan,3:17,N,33296,1.37,-1,,2013,2013-06-05,1,FALSE,Wednesday
61,"Thursday, Jun 6",BOS,H,TEX,W-wo,6,3,,37-24,1,up 1.5,Bailey,Kirkman,,3:21,N,35352,1.42,1,,2013,2013-06-06,1,FALSE,Thursday
62,"Saturday, Jun 8 (1)",BOS,H,LAA,L,5,9,,37-25,1,up 1.5,Hanson,Doubront,Frieri,4:00,D,34499,1.34,-1,2013-06-07 (Rain),2013,2013-06-08,1,TRUE,Saturday
63,"Saturday, Jun 8 (2)",BOS,H,LAA,W,7,2,,38-25,1,up 1.5,Buchholz,Wilson,,3:25,N,36518,1.35,1,,2013,2013-06-08,2,TRUE,Saturday
64,"Sunday, Jun 9",BOS,H,LAA,W,10,5,,39-25,1,up 1.5,Dempster,Blanton,,3:33,D,37054,1.31,2,,2013,2013-06-09,1,FALSE,Sunday
72,"Tuesday, Jun 18 (1)",BOS,H,TBR,W,5,1,,43-29,1,up 2.5,Aceves,Archer,,3:10,D,33430,1.59,1,2013-04-12 (Rain),2013,2013-06-18,1,TRUE,Tuesday
73,"Tuesday, Jun 18 (2)",BOS,H,TBR,W-wo,3,1,,44-29,1,up 2.5,Bailey,Peralta,,2:27,N,32156,1.54,2,,2013,2013-06-18,2,TRUE,Tuesday
74,"Wednesday, Jun 19",BOS,H,TBR,L,2,6,,44-30,1,up 1.5,Hellickson,Dempster,,3:21,N,35710,1.48,-1,,2013,2013-06-19,1,FALSE,Wednesday
79,"Tuesday, Jun 25",BOS,H,COL,W,11,4,,46-33,1,up 2.5,Dempster,Nicasio,,3:40,N,36286,1.46,1,,2013,2013-06-25,1,FALSE,Tuesday
80,"Wednesday, Jun 26",BOS,H,COL,W,5,3,,47-33,1,up 3.5,Lackey,Oswalt,Uehara,2:36,D,34632,1.42,2,,2013,2013-06-26,1,FALSE,Wednesday
81,"Thursday, Jun 27",BOS,H,TOR,W,7,4,,48-33,1,up 3.5,Lester,Wang,Uehara,2:34,N,34750,1.63,3,,2013,2013-06-27,1,FALSE,Thursday
82,"Friday, Jun 28",BOS,H,TOR,W,7,5,,49-33,1,up 3.5,Miller,Wagner,Uehara,3:22,N,36383,1.53,4,,2013,2013-06-28,1,FALSE,Friday
83,"Saturday, Jun 29",BOS,H,TOR,L,2,6,,49-34,1,up 2.5,Delabar,Tazawa,,3:05,D,37437,1.45,-1,,2013,2013-06-29,1,FALSE,Saturday
84,"Sunday, Jun 30",BOS,H,TOR,W-wo,5,4,,50-34,1,up 2.5,Uehara,Pérez,,3:10,D,37425,1.58,1,,2013,2013-06-30,1,FALSE,Sunday
85,"Tuesday, Jul 2",BOS,H,SDP,W,4,1,,51-34,1,up 3.5,Lackey,Erlin,Uehara,2:48,N,36498,1.38,2,,2013,2013-07-02,1,FALSE,Tuesday
86,"Wednesday, Jul 3",BOS,H,SDP,W-wo,2,1,,52-34,1,up 3.5,Uehara,Gregerson,,3:05,N,36911,1.38,3,,2013,2013-07-03,1,FALSE,Wednesday
87,"Thursday, Jul 4",BOS,H,SDP,W,8,2,,53-34,1,up 4.5,Webster,Stults,,3:21,D,37607,1.31,4,,2013,2013-07-04,1,FALSE,Thursday
98,"Friday, Jul 19",BOS,H,NYY,W,4,2,,59-39,1,up 2.5,Doubront,Pettitte,Uehara,2:55,N,38130,1.63,1,,2013,2013-07-19,1,FALSE,Friday
99,"Saturday, Jul 20",BOS,H,NYY,L,2,5,,59-40,1,up 1.5,Kuroda,Lackey,Rivera,3:12,D,37601,1.54,-1,,2013,2013-07-20,1,FALSE,Saturday
100,"Sunday, Jul 21",BOS,H,NYY,W-wo,8,7,11,60-40,1,up 1.5,Beato,Warren,,4:46,N,38138,1.62,1,,2013,2013-07-21,1,FALSE,Sunday
101,"Monday, Jul 22",BOS,H,TBR,L,0,3,,60-41,1,up 0.5,Moore,Workman,,2:52,N,35016,2,-1,,2013,2013-07-22,1,FALSE,Monday
102,"Tuesday, Jul 23",BOS,H,TBR,W,6,2,,61-41,1,up 1.5,Lester,Hernández,,3:06,N,34609,2.03,1,,2013,2013-07-23,1,FALSE,Tuesday
103,"Wednesday, Jul 24",BOS,H,TBR,L,1,5,,61-42,1,up 0.5,Price,Doubront,,3:00,N,36514,1.97,-1,,2013,2013-07-24,1,FALSE,Wednesday
107,"Monday, Jul 29",BOS,H,TBR,L,1,2,,63-44,2,0.5,Price,Doubront,Rodney,3:21,N,37242,2.11,-1,2013-07-25 (Rain),2013,2013-07-29,1,FALSE,Monday
108,"Tuesday, Jul 30",BOS,H,SEA,W,8,2,,64-44,2,0.5,Workman,Saunders,,2:44,N,34578,1.44,1,,2013,2013-07-30,1,FALSE,Tuesday
109,"Wednesday, Jul 31",BOS,H,SEA,W-wo,5,4,15,65-44,1,up 0.5,Britton,Luetge,,5:03,N,35059,1.47,2,,2013,2013-07-31,1,FALSE,Wednesday
110,"Thursday, Aug 1",BOS,H,SEA,W-wo,8,7,,66-44,1,up 1.0,Wright,Pérez,,3:17,N,35886,1.45,3,,2013,2013-08-01,1,FALSE,Thursday
111,"Friday, Aug 2",BOS,H,ARI,L,6,7,,66-45,1,up 1.0,Delgado,Beato,Ziegler,3:32,N,37652,1.4,-1,,2013,2013-08-02,1,FALSE,Friday
112,"Saturday, Aug 3",BOS,H,ARI,W,5,2,,67-45,1,up 1.0,Peavy,Corbin,Uehara,3:02,N,37941,1.51,1,,2013,2013-08-03,1,FALSE,Saturday
113,"Sunday, Aug 4",BOS,H,ARI,W,4,0,,68-45,1,up 1.0,Doubront,McCarthy,,3:16,D,37611,1.52,2,,2013,2013-08-04,1,FALSE,Sunday
124,"Friday, Aug 16",BOS,H,NYY,L,3,10,,72-52,1,up 1.0,Pettitte,Doubront,,3:31,N,38143,1.64,-3,,2013,2013-08-16,1,FALSE,Friday
125,"Saturday, Aug 17",BOS,H,NYY,W,6,1,,73-52,1,up 2.0,Lackey,Kuroda,,3:26,D,37517,1.85,1,,2013,2013-08-17,1,FALSE,Saturday
126,"Sunday, Aug 18",BOS,H,NYY,L,6,9,,73-53,1,up 1.0,Sabathia,Dempster,Rivera,4:12,N,37917,1.69,-1,,2013,2013-08-18,1,FALSE,Sunday
133,"Tuesday, Aug 27",BOS,H,BAL,W,13,2,,78-55,1,up 2.5,Doubront,Chen,,2:59,N,36226,1.86,3,,2013,2013-08-27,1,FALSE,Tuesday
134,"Wednesday, Aug 28",BOS,H,BAL,W,4,3,,79-55,1,up 2.5,Breslow,Hunter,Uehara,3:00,N,31962,1.66,4,,2013,2013-08-28,1,FALSE,Wednesday
135,"Thursday, Aug 29",BOS,H,BAL,L,2,3,,79-56,1,up 2.5,Tillman,Lester,Johnson,3:20,N,33300,1.49,-1,,2013,2013-08-29,1,FALSE,Thursday
136,"Friday, Aug 30",BOS,H,CHW,W,4,3,,80-56,1,up 3.5,Dempster,Santiago,Uehara,3:09,N,36063,1.36,1,,2013,2013-08-30,1,FALSE,Friday
137,"Saturday, Aug 31",BOS,H,CHW,W,7,2,,81-56,1,up 4.5,Peavy,Danks,,3:11,N,37363,1.16,2,,2013,2013-08-31,1,FALSE,Saturday
138,"Sunday, Sep 1",BOS,H,CHW,W,7,6,,82-56,1,up 5.5,Workman,Rienzo,Uehara,3:39,D,37053,0.97,3,,2013,2013-09-01,1,FALSE,Sunday
139,"Monday, Sep 2",BOS,H,DET,L,0,3,,82-57,1,up 5.5,Fister,Lackey,Veras,2:59,D,36188,0.86,-1,,2013,2013-09-02,1,FALSE,Monday
140,"Tuesday, Sep 3",BOS,H,DET,W,2,1,,83-57,1,up 5.5,Lester,Scherzer,Uehara,2:56,N,32071,0.99,1,,2013,2013-09-03,1,FALSE,Tuesday
141,"Wednesday, Sep 4",BOS,H,DET,W,20,4,,84-57,1,up 5.5,Dempster,Porcello,,3:33,N,33720,0.89,2,,2013,2013-09-04,1,FALSE,Wednesday
149,"Friday, Sep 13",BOS,H,NYY,W,8,4,,90-59,1,up 8.5,Workman,Kuroda,,3:06,N,37542,0.11,1,,2013,2013-09-13,1,FALSE,Friday
150,"Saturday, Sep 14",BOS,H,NYY,W,5,1,,91-59,1,up 8.5,Lester,Sabathia,,2:43,D,37510,0.08,2,,2013,2013-09-14,1,FALSE,Saturday
151,"Sunday, Sep 15",BOS,H,NYY,W,9,2,,92-59,1,up 9.5,Buchholz,Nova,,3:13,N,37137,0.09,3,,2013,2013-09-15,1,FALSE,Sunday
152,"Tuesday, Sep 17",BOS,H,BAL,L,2,3,,92-60,1,up 9.0,Hunter,Uehara,Johnson,3:08,N,35030,0.05,-1,,2013,2013-09-17,1,FALSE,Tuesday
153,"Wednesday, Sep 18",BOS,H,BAL,L,3,5,12,92-61,1,up 8.0,McFarland,Morales,Johnson,4:01,N,38540,0.12,-2,,2013,2013-09-18,1,FALSE,Wednesday
154,"Thursday, Sep 19",BOS,H,BAL,W,3,1,,93-61,1,up 9.0,Lackey,Tillman,,2:18,N,36436,0.14,1,,2013,2013-09-19,1,FALSE,Thursday
155,"Friday, Sep 20",BOS,H,TOR,W,6,3,,94-61,1,up 9.0,Lester,Rogers,Uehara,3:26,N,37215,0.11,2,,2013,2013-09-20,1,FALSE,Friday
156,"Saturday, Sep 21",BOS,H,TOR,L,2,4,,94-62,1,up 8.0,Buehrle,Buchholz,Janssen,3:07,N,37569,0.12,-1,,2013,2013-09-21,1,FALSE,Saturday
157,"Sunday, Sep 22",BOS,H,TOR,W,5,2,,95-62,1,up 8.0,Doubront,Dickey,Uehara,2:13,D,37020,0.2,1,,2013,2013-09-22,1,FALSE,Sunday
4,"Friday, Apr 4",BOS,H,MIL,L,2,6,,2-2,2,0.5,Kintzler,Mujica,,3:19,D,36728,0.97,-1,,2014,2014-04-04,1,FALSE,Friday
5,"Saturday, Apr 5",BOS,H,MIL,L,6,7,11,2-3,3,1.5,Thornburg,Badenhop,Rodríguez,4:23,N,35729,0.96,-2,,2014,2014-04-05,1,FALSE,Saturday
6,"Sunday, Apr 6",BOS,H,MIL,L,0,4,,2-4,4,1.5,Gallardo,Lester,,2:57,D,35958,0.92,-3,,2014,2014-04-06,1,FALSE,Sunday
7,"Monday, Apr 7",BOS,H,TEX,W,5,1,,3-4,3,1.0,Lackey,Scheppers,,3:07,N,35842,0.91,1,,2014,2014-04-07,1,FALSE,Monday
8,"Tuesday, Apr 8",BOS,H,TEX,L,7,10,,3-5,4,1.5,Pérez,Doubront,,3:11,N,34142,0.92,-1,,2014,2014-04-08,1,FALSE,Tuesday
9,"Wednesday, Apr 9",BOS,H,TEX,W,4,2,,4-5,3,1.0,Miller,Ogando,Uehara,2:57,D,33585,0.86,1,,2014,2014-04-09,1,FALSE,Wednesday
17,"Friday, Apr 18",BOS,H,BAL,L,4,8,,7-10,5,3.0,Tillman,Lackey,O'Day,3:26,N,36408,1.03,-1,,2014,2014-04-18,1,FALSE,Friday
18,"Saturday, Apr 19",BOS,H,BAL,W,4,2,,8-10,5,2.0,Tazawa,Norris,Uehara,2:47,D,37689,0.92,1,,2014,2014-04-19,1,FALSE,Saturday
19,"Sunday, Apr 20",BOS,H,BAL,W-wo,6,5,,9-10,3,2.0,Mujica,Matusz,,3:22,N,33947,0.97,2,,2014,2014-04-20,1,FALSE,Sunday
20,"Monday, Apr 21",BOS,H,BAL,L,6,7,,9-11,5,2.5,Chen,Buchholz,Hunter,3:18,D,37513,1.05,-1,,2014,2014-04-21,1,FALSE,Monday
21,"Tuesday, Apr 22",BOS,H,NYY,L,3,9,,9-12,5,3.5,Tanaka,Lester,,3:17,N,37041,0.98,-2,,2014,2014-04-22,1,FALSE,Tuesday
22,"Wednesday, Apr 23",BOS,H,NYY,W,5,1,,10-12,5,2.5,Lackey,Pineda,,3:12,N,37015,0.9,1,,2014,2014-04-23,1,FALSE,Wednesday
23,"Thursday, Apr 24",BOS,H,NYY,L,5,14,,10-13,5,3.5,Sabathia,Doubront,,3:51,N,37356,1.03,-1,,2014,2014-04-24,1,FALSE,Thursday
27,"Tuesday, Apr 29",BOS,H,TBR,W,7,4,,13-14,3,2.5,Lackey,Gomes,Uehara,3:40,N,34794,0.99,1,,2014,2014-04-29,1,FALSE,Tuesday
28,"Thursday, May 1 (1)",BOS,H,TBR,L,1,2,,13-15,4,3.0,Gomes,Peavy,Balfour,3:27,D,35621,1.1,-1,2014-04-30 (Rain),2014,2014-05-01,1,TRUE,Thursday
29,"Thursday, May 1 (2)",BOS,H,TBR,L,5,6,,13-16,4,3.0,McGee,Uehara,Balfour,3:44,N,33465,1.01,-2,,2014,2014-05-01,2,TRUE,Thursday
30,"Friday, May 2",BOS,H,OAK,W,7,1,,14-16,3,2.5,Buchholz,Straily,,3:37,N,34850,0.86,1,,2014,2014-05-02,1,FALSE,Friday
31,"Saturday, May 3",BOS,H,OAK,W,6,3,,15-16,3,2.0,Lester,Milone,Uehara,2:44,D,37042,0.91,2,,2014,2014-05-03,1,FALSE,Saturday
32,"Sunday, May 4",BOS,H,OAK,L,2,3,10,15-17,3,2.0,Johnson,Capuano,,3:45,D,35649,0.96,-1,,2014,2014-05-04,1,FALSE,Sunday
33,"Tuesday, May 6",BOS,H,CIN,W-wo,4,3,12,16-17,3,1.5,Breslow,Ondrusek,,4:04,N,36004,0.9,1,,2014,2014-05-06,1,FALSE,Tuesday
34,"Wednesday, May 7",BOS,H,CIN,W,4,3,,17-17,3,1.5,Breslow,Hoover,Uehara,2:47,N,37072,0.94,2,,2014,2014-05-07,1,FALSE,Wednesday
41,"Friday, May 16",BOS,H,DET,L,0,1,,20-21,4,2.5,Scherzer,Lester,Nathan,3:14,N,37225,1.04,-2,,2014,2014-05-16,1,FALSE,Friday
42,"Saturday, May 17",BOS,H,DET,L,1,6,,20-22,4,2.5,Porcello,Lackey,,2:49,N,37608,0.96,-3,,2014,2014-05-17,1,FALSE,Saturday
43,"Sunday, May 18",BOS,H,DET,L,2,6,,20-23,4,3.0,Sánchez,Peavy,,3:19,N,35006,0.87,-4,,2014,2014-05-18,1,FALSE,Sunday
44,"Tuesday, May 20",BOS,H,TOR,L,4,7,,20-24,4,3.5,Happ,Doubront,Janssen,3:17,N,37904,0.97,-5,,2014,2014-05-20,1,FALSE,Tuesday
45,"Wednesday, May 21",BOS,H,TOR,L,4,6,,20-25,4,4.0,Hutchison,Buchholz,Janssen,3:23,N,36116,0.89,-6,,2014,2014-05-21,1,FALSE,Wednesday
46,"Thursday, May 22",BOS,H,TOR,L,2,7,,20-26,4,5.0,Buehrle,Lester,,2:58,D,36018,0.77,-7,,2014,2014-05-22,1,FALSE,Thursday
52,"Wednesday, May 28",BOS,H,ATL,W,4,0,,23-29,4,8.0,Lackey,Floyd,,3:09,N,36189,0.49,3,,2014,2014-05-28,1,FALSE,Wednesday
53,"Thursday, May 29",BOS,H,ATL,W-wo,4,3,,24-29,4,7.0,Uehara,Kimbrel,,3:00,N,36292,0.52,4,,2014,2014-05-29,1,FALSE,Thursday
54,"Friday, May 30",BOS,H,TBR,W-wo,3,2,10,25-29,4,6.0,Miller,Oviedo,,3:55,N,35820,0.62,5,,2014,2014-05-30,1,FALSE,Friday
55,"Saturday, May 31",BOS,H,TBR,W,7,1,,26-29,4,6.0,De La Rosa,Odorizzi,,3:07,N,37076,0.72,6,,2014,2014-05-31,1,FALSE,Saturday
56,"Sunday, Jun 1",BOS,H,TBR,W,4,0,,27-29,4,6.0,Lester,Bédard,,3:12,D,37688,0.76,7,,2014,2014-06-01,1,FALSE,Sunday
66,"Thursday, Jun 12",BOS,H,CLE,W,5,2,,30-36,4,8.0,Lester,Tomlin,Uehara,3:08,N,37750,0.5,1,,2014,2014-06-12,1,FALSE,Thursday
67,"Friday, Jun 13",BOS,H,CLE,W,10,3,,31-36,4,8.0,Lackey,Masterson,,3:13,N,35772,0.52,2,,2014,2014-06-13,1,FALSE,Friday
68,"Saturday, Jun 14",BOS,H,CLE,L,2,3,,31-37,4,8.0,Axford,Breslow,Allen,3:24,D,37181,0.61,-1,,2014,2014-06-14,1,FALSE,Saturday
69,"Sunday, Jun 15",BOS,H,CLE,L,2,3,11,31-38,4,9.0,Allen,Tazawa,,4:03,D,37356,0.52,-2,,2014,2014-06-15,1,FALSE,Sunday
70,"Monday, Jun 16",BOS,H,MIN,W,1,0,,32-38,4,8.5,De La Rosa,Correia,Uehara,2:45,N,35693,0.46,1,,2014,2014-06-16,1,FALSE,Monday
71,"Tuesday, Jun 17",BOS,H,MIN,W,2,1,,33-38,4,7.5,Lester,Hughes,Mujica,2:48,N,36835,0.55,2,,2014,2014-06-17,1,FALSE,Tuesday
72,"Wednesday, Jun 18",BOS,H,MIN,W-wo,2,1,10,34-38,4,6.5,Uehara,Fien,,2:31,D,36489,0.58,3,,2014,2014-06-18,1,FALSE,Wednesday
